geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US90023,90023,46611,1586,1519,322,882,259,244,151,8,13,366,139,0,25,0,25,19,24,0,25,19,24,45092,1659,28508,1762,179,157,200,141,36,57,0,25,15498,1315,671,249,493,212,178,121
86000US90024,90024,49737,1377,44228,1336,27048,1056,869,206,24,25,13923,999,39,44,168,141,2157,362,65,44,2092,364,5509,671,3236,440,42,39,45,39,84,53,0,25,1605,482,497,196,85,48,412,190
86000US90025,90025,46520,1443,37878,1527,24739,1337,1291,389,0,25,9471,882,36,33,41,41,2300,463,102,87,2198,434,8642,1180,4565,738,73,61,791,639,20,32,0,25,2723,805,470,181,112,81,358,158
86000US90026,90026,67557,1663,31604,1170,16514,809,2168,558,184,135,11228,1006,88,59,109,123,1313,260,136,112,1177,231,35953,1508,21296,1563,296,170,989,440,211,98,0,28,12019,1087,1142,410,764,267,378,299
86000US90027,90027,46043,1278,36314,995,27252,1074,1263,256,7,11,6031,739,34,44,191,107,1536,310,118,71,1418,297,9729,813,3459,467,69,81,69,69,64,40,13,16,5667,831,388,125,247,104,141,78
86000US90028,90028,31122,1370,21139,1169,15158,955,2502,500,203,162,2379,416,11,17,67,50,819,231,38,44,781,236,9983,890,2159,414,103,100,38,58,224,214,45,64,7101,896,313,167,204,129,109,79
86000US90029,90029,40242,1186,17954,1067,9503,756,911,206,12,27,6911,679,40,52,51,33,526,215,55,62,471,198,22288,1123,6062,912,64,65,110,79,25,24,21,33,15601,1122,405,138,251,107,154,79
86000US90031,90031,38940,1468,12552,940,2658,387,235,115,31,32,9162,841,56,39,88,103,322,219,0,25,322,219,26388,1354,11892,1068,64,60,287,164,29,44,0,25,13400,1292,716,318,308,189,408,268
86000US90032,90032,47285,1427,9001,772,3372,483,689,230,138,143,4425,528,44,53,84,73,249,108,54,51,195,86,38284,1357,17445,1271,137,92,302,175,107,71,2,4,19513,1488,778,273,529,229,249,136
86000US90033,90033,49156,1465,4477,588,1233,287,668,170,45,34,2415,516,59,59,11,18,46,40,1,2,45,40,44679,1521,31389,1984,108,89,219,143,64,43,12,18,12304,1377,583,213,396,164,187,102
