,Zip Code,2017 Crime count,geoid,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black
97,91214,19,86000US91214,30935,27415,17079,120,3520,2128,16
98,91303,443,86000US91303,29668,10800,5677,1308,18868,12125,24
99,91304,42,86000US91304,52846,30674,19240,2171,22172,7157,39
100,91306,308,86000US91306,49043,23131,11926,1543,25912,9558,94
101,91307,8,86000US91307,26703,22665,16666,817,4038,2196,0
102,91311,119,86000US91311,38479,29166,19091,1474,9313,5318,32
103,91316,107,86000US91316,29485,25160,20587,1060,4325,3504,16
104,91321,1,86000US91321,34664,18153,13604,868,16511,11310,78
105,91324,322,86000US91324,29689,19109,11264,2218,10580,4615,194
106,91325,140,86000US91325,33558,22688,13544,2629,10870,5938,158
107,91326,40,86000US91326,36168,31611,17238,1189,4557,2747,4
108,91331,427,86000US91331,101536,13901,4364,3204,87635,56490,238
109,91335,434,86000US91335,80161,38596,24137,3391,41565,30837,144
110,91340,431,86000US91340,35681,3040,1537,765,32641,20081,279
111,91342,54,86000US91342,95222,22377,12291,3446,72845,56414,259
112,91343,366,86000US91343,64323,25399,12837,2475,38924,17825,55
113,91344,184,86000US91344,53290,36180,23573,2120,17110,7843,78
114,91345,188,86000US91345,18763,5758,3335,308,13005,7311,36
115,91352,174,86000US91352,47079,12915,8864,652,34164,27020,141
116,91356,183,86000US91356,29728,24570,20362,1050,5158,2279,39
117,91364,64,86000US91364,27607,23780,19159,1474,3827,2299,36
118,91367,273,86000US91367,42319,37417,27830,1724,4902,2658,26
119,91401,343,86000US91401,41019,22653,17201,2005,18366,7052,153
120,91402,490,86000US91402,71765,19124,5539,1725,52641,28032,170
121,91403,120,86000US91403,24579,22313,18027,1431,2266,1861,53
122,91405,477,86000US91405,54356,20297,13064,1970,34059,9197,30
123,91406,198,86000US91406,55385,23842,15275,2597,31543,9662,56
124,91411,298,86000US91411,25290,12677,9039,1082,12613,8989,160
125,91423,126,86000US91423,34140,29891,24170,1799,4249,3402,41
126,91436,63,86000US91436,14353,13704,12188,161,649,522,0
127,91504,13,86000US91504,26833,20517,14452,529,6316,3421,57
128,91601,362,86000US91601,39318,24049,16363,2863,15269,9407,159
129,91602,123,86000US91602,18615,15994,12423,1304,2621,1446,25
130,91604,96,86000US91604,30386,27411,22526,1361,2975,2262,229
131,91605,446,86000US91605,55377,21536,14617,1804,33841,18824,375
132,91606,425,86000US91606,45040,20569,15489,1794,24471,13011,272
133,91607,191,86000US91607,31405,23968,18840,2162,7437,5778,51
134,91608,33,86000US91608,0,0,0,0,0,0,0
